CLUSTER_ID,CUSTOMER_COUNT,AVG_RECENCY_DAYS,AVG_FREQUENCY,AVG_MONETARY_VALUE,MEDIAN_RECENCY_DAYS,MEDIAN_FREQUENCY,MEDIAN_MONETARY_VALUE,SEGMENT_NAME
0,2202,6.5295186194368755,9.795186194368755,746719.2752497729,6.0,10.0,729415.7250000001,Loyal Customers
1,3545,53.5475317348378,9.220874471086036,732059.8813117066,45.0,9.0,708443.75,At Risk
2,1532,64.24347258485639,5.7206266318537855,369732.15466710186,50.0,6.0,369750.44999999995,At Risk
3,2721,25.35428151414921,13.590224182285924,1189700.3726387357,20.0,13.0,1152680.55,Loyal Customers
